states,star_rating,Checked_for_Depression,Checked_patients_for_the_risk_of_developing_sores,How_often_family_members_were_taught_about_drugs,How_often_treatment_was_ordered,Average
ME,3.5,97.8,99.4,96.7,98.7,98.15
RI,3.5,98.3,98.8,96.7,98.7,98.125
NE,3.5,96.9,99,96,98.6,97.625
AZ,3.5,97.3,98.9,96.9,98.6,97.925
CA,3.5,97.7,98.5,97.2,98.6,98
WI,3,98.3,98.7,96.3,98.6,97.975
SC,3.5,98.7,99.3,97.3,98.6,98.475
NM,3,97,98.2,94.5,98.5,97.05
NV,3,97.8,98.3,96.7,98.4,97.8
OK,3,98,98.4,96.6,98.4,97.85
MT,3,97.1,98.9,95.3,98.3,97.4
HI,3,96.4,97.6,96.3,98.2,97.125
MD,3.5,97.3,99.5,96.9,98.2,97.975
NY,3,97.8,99,94.8,98.2,97.45
MS,3.5,98.2,99.5,97.6,98.2,98.375
GA,3.5,98.4,99.2,96.5,98.2,98.075
AR,3,98.6,99.2,95.9,98.2,97.975
ID,3.5,98.8,99.4,96.9,98.2,98.325
KY,3.5,98.9,99.4,95,98.2,97.875
VI,2.5,99.7,99.7,96,98.2,98.4
WA,3,96.6,98.9,95.8,98.1,97.35
OH,3,98.2,98.5,95.9,98.1,97.675
KS,3.5,98.2,98.6,95.3,98.1,97.55
MI,3.5,98.2,99.1,97.2,98.1,98.15
AL,3.5,98.4,99.5,97.8,98.1,98.45
WV,3.5,99,99.2,96.9,98.1,98.3
AK,2.5,93.9,99.4,94.5,98,96.45
OR,3,96.5,98.1,93.6,98,96.55
NJ,3.5,98.1,99.6,97.4,98,98.275
VT,3.5,98.3,99,97.6,98,98.225
IA,3,98.5,98.4,95.9,98,97.7
MN,3,96.9,98.2,94.5,97.9,96.875
MA,3,97.6,98.6,97.3,97.9,97.85
NC,3,97.9,99.2,96.3,97.8,97.8
IL,3.5,98.1,98.6,96.8,97.8,97.825
TN,3.5,98.2,99.3,95.9,97.6,97.75
PA,3.5,98.3,99.3,96.9,97.6,98.025
MO,3.5,99.1,99.2,96.2,97.6,98.025
TX,3,97.5,97.9,95.7,97.5,97.15
UT,3.5,98,98.6,93,97.5,96.775
VA,3.5,98,99,96,97.5,97.625
DE,3.5,97.5,99,96.4,97.4,97.575
LA,3,98.3,98.6,96.8,97.4,97.775
ND,3.5,99.2,99.4,98.7,97.4,98.675
IN,3,97.6,98.3,96.5,97.3,97.425
SD,3.5,98.5,98,95.1,97.3,97.225
FL,3.5,98,98.9,96,97.2,97.525
CO,3.5,97,98.6,94.9,97.1,96.9
CT,3,97.3,97.6,95.3,97,96.8
NH,3,97.8,99,94.6,96.1,96.875
WY,3,97.5,96.9,89.9,95.4,94.925
DC,3,96.2,97.6,90.6,94.6,94.75
PR,3.5,97.3,98,92.9,93.1,95.325
