----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| state | star_rating | How_often_they_began_timely_checkups | Diabetic_foot_care | How_often_patients_were_treated_for_heart_failure_symptoms | Checked_patients_for_the_risk_of_developing_sores |
====================================================================================================================================================================================================
| "VI"  | "2.5"       | "75.0"                               | "92.3"             | "100.0"                                                    | "99.7"                                            |
| "NJ"  | "3.5"       | "90.6"                               | "96.7"             | "98.3"                                                     | "99.6"                                            |
| "MD"  | "3.5"       | "92.1"                               | "96.9"             | "97.1"                                                     | "99.5"                                            |
| "MS"  | "3.5"       | "93.9"                               | "96.9"             | "97.6"                                                     | "99.5"                                            |
| "AL"  | "3.5"       | "94.3"                               | "96.9"             | "98.3"                                                     | "99.5"                                            |
| "AK"  | "2.5"       | "76.7"                               | "96.1"             | "97.8"                                                     | "99.4"                                            |
| "KY"  | "3.5"       | "94.1"                               | "96.7"             | "98.2"                                                     | "99.4"                                            |
| "ID"  | "3.5"       | "94.1"                               | "96.8"             | "97.0"                                                     | "99.4"                                            |
| "ME"  | "3.5"       | "88.2"                               | "96.9"             | "98.7"                                                     | "99.4"                                            |
| "ND"  | "3.5"       | "95.9"                               | "97.0"             | "99.7"                                                     | "99.4"                                            |
| "PA"  | "3.5"       | "92.7"                               | "96.2"             | "98.4"                                                     | "99.3"                                            |
| "TN"  | "3.5"       | "92.8"                               | "96.3"             | "98.4"                                                     | "99.3"                                            |
| "SC"  | "3.5"       | "92.5"                               | "97.2"             | "98.4"                                                     | "99.3"                                            |
| "NC"  | "3.0"       | "91.6"                               | "95.6"             | "97.5"                                                     | "99.2"                                            |
| "MO"  | "3.5"       | "93.8"                               | "95.6"             | "98.4"                                                     | "99.2"                                            |
| "GA"  | "3.5"       | "90.4"                               | "96.3"             | "98.0"                                                     | "99.2"                                            |
| "AR"  | "3.0"       | "94.3"                               | "96.7"             | "97.8"                                                     | "99.2"                                            |
| "WV"  | "3.5"       | "94.6"                               | "96.9"             | "97.9"                                                     | "99.2"                                            |
| "MI"  | "3.5"       | "88.7"                               | "96.9"             | "98.7"                                                     | "99.1"                                            |
| "NH"  | "3.0"       | "93.8"                               | "93.3"             | "99.3"                                                     | "99.0"                                            |
| "VA"  | "3.5"       | "92.8"                               | "95.6"             | "96.0"                                                     | "99.0"                                            |
| "DE"  | "3.5"       | "93.8"                               | "96.0"             | "96.4"                                                     | "99.0"                                            |
| "NE"  | "3.5"       | "95.5"                               | "96.1"             | "98.5"                                                     | "99.0"                                            |
| "NY"  | "3.0"       | "94.5"                               | "97.3"             | "97.7"                                                     | "99.0"                                            |
| "VT"  | "3.5"       | "94.0"                               | "97.8"             | "98.3"                                                     | "99.0"                                            |
| "MT"  | "3.0"       | "89.1"                               | "94.1"             | "98.8"                                                     | "98.9"                                            |
| "FL"  | "3.5"       | "95.2"                               | "94.8"             | "98.0"                                                     | "98.9"                                            |
| "WA"  | "3.0"       | "86.2"                               | "94.9"             | "98.1"                                                     | "98.9"                                            |
| "AZ"  | "3.5"       | "93.4"                               | "97.2"             | "98.0"                                                     | "98.9"                                            |
| "RI"  | "3.5"       | "95.1"                               | "96.9"             | "98.3"                                                     | "98.8"                                            |
| "WI"  | "3.0"       | "91.6"                               | "96.7"             | "98.7"                                                     | "98.7"                                            |
| "UT"  | "3.5"       | "94.2"                               | "92.2"             | "96.4"                                                     | "98.6"                                            |
| "CO"  | "3.5"       | "93.0"                               | "95.0"             | "96.9"                                                     | "98.6"                                            |
| "LA"  | "3.0"       | "95.4"                               | "96.0"             | "97.9"                                                     | "98.6"                                            |
| "KS"  | "3.5"       | "94.2"                               | "96.3"             | "98.0"                                                     | "98.6"                                            |
| "MA"  | "3.0"       | "94.3"                               | "96.3"             | "98.9"                                                     | "98.6"                                            |
| "IL"  | "3.5"       | "93.2"                               | "96.9"             | "98.0"                                                     | "98.6"                                            |
| "OH"  | "3.0"       | "92.9"                               | "96.7"             | "98.6"                                                     | "98.5"                                            |
| "CA"  | "3.5"       | "90.3"                               | "97.0"             | "98.5"                                                     | "98.5"                                            |
| "IA"  | "3.0"       | "94.3"                               | "96.5"             | "99.0"                                                     | "98.4"                                            |
| "OK"  | "3.0"       | "92.5"                               | "97.0"             | "98.6"                                                     | "98.4"                                            |
| "IN"  | "3.0"       | "91.7"                               | "95.5"             | "98.7"                                                     | "98.3"                                            |
| "NV"  | "3.0"       | "90.5"                               | "96.5"             | "97.8"                                                     | "98.3"                                            |
| "MN"  | "3.0"       | "90.2"                               | "95.6"             | "98.3"                                                     | "98.2"                                            |
| "NM"  | "3.0"       | "87.1"                               | "96.3"             | "97.6"                                                     | "98.2"                                            |
| "OR"  | "3.0"       | "84.8"                               | "94.2"             | "98.1"                                                     | "98.1"                                            |
| "SD"  | "3.5"       | "95.2"                               | "92.6"             | "99.0"                                                     | "98.0"                                            |
| "PR"  | "3.5"       | "91.3"                               | "93.7"             | "87.6"                                                     | "98.0"                                            |
| "TX"  | "3.0"       | "92.2"                               | "95.9"             | "98.4"                                                     | "97.9"                                            |
| "DC"  | "3.0"       | "87.7"                               | "92.3"             | "98.4"                                                     | "97.6"                                            |
| "CT"  | "3.0"       | "94.3"                               | "95.5"             | "98.0"                                                     | "97.6"                                            |
| "HI"  | "3.0"       | "90.9"                               | "97.0"             | "99.1"                                                     | "97.6"                                            |
| "WY"  | "3.0"       | "90.2"                               | "88.8"             | "96.4"                                                     | "96.9"                                            |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
