-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| state | star_rating | How_often_team_took_doctor_ordered_actions_to_prevent_sores | How_often_the_plan_included_the_treatment | How_often_the_team_checked_for_developing_bed__pressure_sores |
=================================================================================================================================================================================================
| "ME"  | "3.5"       | "98.7"                                                      | "99.1"                                    | "99.4"                                                        |
| "RI"  | "3.5"       | "98.7"                                                      | "99.2"                                    | "98.8"                                                        |
| "CA"  | "3.5"       | "98.6"                                                      | "98.8"                                    | "98.5"                                                        |
| "WI"  | "3.0"       | "98.6"                                                      | "98.8"                                    | "98.7"                                                        |
| "NE"  | "3.5"       | "98.6"                                                      | "98.8"                                    | "99.0"                                                        |
| "AZ"  | "3.5"       | "98.6"                                                      | "98.9"                                    | "98.9"                                                        |
| "SC"  | "3.5"       | "98.6"                                                      | "99.0"                                    | "99.3"                                                        |
| "NM"  | "3.0"       | "98.5"                                                      | "98.6"                                    | "98.2"                                                        |
| "OK"  | "3.0"       | "98.4"                                                      | "98.8"                                    | "98.4"                                                        |
| "NV"  | "3.0"       | "98.4"                                                      | "99.0"                                    | "98.3"                                                        |
| "MT"  | "3.0"       | "98.3"                                                      | "98.6"                                    | "98.9"                                                        |
| "ID"  | "3.5"       | "98.2"                                                      | "96.9"                                    | "99.4"                                                        |
| "HI"  | "3.0"       | "98.2"                                                      | "97.4"                                    | "97.6"                                                        |
| "MS"  | "3.5"       | "98.2"                                                      | "97.7"                                    | "99.5"                                                        |
| "GA"  | "3.5"       | "98.2"                                                      | "98.1"                                    | "99.2"                                                        |
| "AR"  | "3.0"       | "98.2"                                                      | "98.5"                                    | "99.2"                                                        |
| "KY"  | "3.5"       | "98.2"                                                      | "98.5"                                    | "99.4"                                                        |
| "MD"  | "3.5"       | "98.2"                                                      | "98.5"                                    | "99.5"                                                        |
| "NY"  | "3.0"       | "98.2"                                                      | "99.1"                                    | "99.0"                                                        |
| "VI"  | "2.5"       | "98.2"                                                      | "99.4"                                    | "99.7"                                                        |
| "KS"  | "3.5"       | "98.1"                                                      | "97.3"                                    | "98.6"                                                        |
| "WA"  | "3.0"       | "98.1"                                                      | "97.8"                                    | "98.9"                                                        |
| "AL"  | "3.5"       | "98.1"                                                      | "98.3"                                    | "99.5"                                                        |
| "WV"  | "3.5"       | "98.1"                                                      | "98.5"                                    | "99.2"                                                        |
| "OH"  | "3.0"       | "98.1"                                                      | "98.6"                                    | "98.5"                                                        |
| "MI"  | "3.5"       | "98.1"                                                      | "98.9"                                    | "99.1"                                                        |
| "AK"  | "2.5"       | "98.0"                                                      | "94.7"                                    | "99.4"                                                        |
| "OR"  | "3.0"       | "98.0"                                                      | "96.1"                                    | "98.1"                                                        |
| "IA"  | "3.0"       | "98.0"                                                      | "98.1"                                    | "98.4"                                                        |
| "NJ"  | "3.5"       | "98.0"                                                      | "99.2"                                    | "99.6"                                                        |
| "VT"  | "3.5"       | "98.0"                                                      | "99.3"                                    | "99.0"                                                        |
| "MN"  | "3.0"       | "97.9"                                                      | "96.7"                                    | "98.2"                                                        |
| "MA"  | "3.0"       | "97.9"                                                      | "98.7"                                    | "98.6"                                                        |
| "NC"  | "3.0"       | "97.8"                                                      | "98.0"                                    | "99.2"                                                        |
| "IL"  | "3.5"       | "97.8"                                                      | "98.7"                                    | "98.6"                                                        |
| "MO"  | "3.5"       | "97.6"                                                      | "97.8"                                    | "99.2"                                                        |
| "TN"  | "3.5"       | "97.6"                                                      | "97.9"                                    | "99.3"                                                        |
| "PA"  | "3.5"       | "97.6"                                                      | "98.7"                                    | "99.3"                                                        |
| "UT"  | "3.5"       | "97.5"                                                      | "98.2"                                    | "98.6"                                                        |
| "VA"  | "3.5"       | "97.5"                                                      | "98.5"                                    | "99.0"                                                        |
| "TX"  | "3.0"       | "97.5"                                                      | "98.7"                                    | "97.9"                                                        |
| "ND"  | "3.5"       | "97.4"                                                      | "96.8"                                    | "99.4"                                                        |
| "DE"  | "3.5"       | "97.4"                                                      | "97.7"                                    | "99.0"                                                        |
| "LA"  | "3.0"       | "97.4"                                                      | "97.9"                                    | "98.6"                                                        |
| "SD"  | "3.5"       | "97.3"                                                      | "97.2"                                    | "98.0"                                                        |
| "IN"  | "3.0"       | "97.3"                                                      | "97.7"                                    | "98.3"                                                        |
| "FL"  | "3.5"       | "97.2"                                                      | "98.1"                                    | "98.9"                                                        |
| "CO"  | "3.5"       | "97.1"                                                      | "97.8"                                    | "98.6"                                                        |
| "CT"  | "3.0"       | "97.0"                                                      | "96.0"                                    | "97.6"                                                        |
| "NH"  | "3.0"       | "96.1"                                                      | "98.9"                                    | "99.0"                                                        |
| "WY"  | "3.0"       | "95.4"                                                      | "95.6"                                    | "96.9"                                                        |
| "DC"  | "3.0"       | "94.6"                                                      | "95.7"                                    | "97.6"                                                        |
| "PR"  | "3.5"       | "93.1"                                                      | "97.7"                                    | "98.0"                                                        |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
